codigo,descricao,grupo,total_movimento,data_baixa,estoque_minimo,tempo_reposicao,ano,mes
568,PRENSA FIO INJ,INJETADOS,1,2024-01-15 00:00:00.000,70,12,2024,1
569,TRAVESSA INJ PR,INJETADOS,1,2024-01-15 00:00:00.000,2000,12,2024,1
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,6,2024-01-15 00:00:00.000,10453,30,2024,1
1068,CX MASTER 512x272x312 REF:8235/8236,EMBALAGEM,"0,5",2024-01-15 00:00:00.000,15,7,2024,1
5098,PRENSA CABO PRETA INJ MACHO,INJETADOS,6,2024-01-15 00:00:00.000,300,17,2024,1
5592,"SACO BOBI PICOTADO 24,5x35x0,03",EMBALAGEM,1,2024-01-15 00:00:00.000,1800,2,2024,1
9287,PORCA PASSANTE PRETA INJETADA,INJETADOS,650,2025-03-28 00:00:00.000,4500,12,2025,3
514,SOQUETE PORCELANA E27 FX11 CONICO,ELÉTRICO,325,2025-03-28 00:00:00.000,0,5,2025,3
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,650,2025-03-28 00:00:00.000,10453,30,2025,3
2958,CABO 26 CM  PARAL PR,ELÉTRICO,325,2025-03-28 00:00:00.000,4000,15,2025,3
7039,CHAPEU ARAND. INJ PRETO 8336 ASPEN,INJETADOS,325,2025-03-28 00:00:00.000,0,12,2025,3
7045,BRACO INJ MINI ARAN PRETO 8336 ASPEN,INJETADOS,325,2025-03-28 00:00:00.000,0,12,2025,3
7721,TRAVESSA INJ DUPLA 2 PARAF M4,MONTADOS,325,2025-03-28 00:00:00.000,1785,12,2025,3
6920,CX PAP SIMPLES KRAFT REF: 8311/3,EMBALAGEM,1,2024-01-15 00:00:00.000,10,7,2024,1
7184,NIPEL INJ 35MM COBRE,INJETADOS,1,2024-01-15 00:00:00.000,20,12,2024,1
7300,PRENSA CABO COBRE INJ FEMEA,INJETADOS,6,2024-01-15 00:00:00.000,35,12,2024,1
7302,CHAPEU INJ PQ COBRE 8311 LINHA MALIBU,INJETADOS,3,2024-01-15 00:00:00.000,0,12,2024,1
7313,DISCO GR AL 4 FURO COBRE,PINTURA,1,2024-01-15 00:00:00.000,0,1,2024,1
7331,CONJ SOQ 90 CM COBRE,ELÉTRICO,3,2024-01-15 00:00:00.000,30,10,2024,1
506,"PARAF AA CAB PAN PHIL 2,9X9,5 ZB",FIXAÇÃO,8,2024-04-30 00:00:00.000,3000,3,2024,4
581,BOLA SEXTAVADA C/FURO PRETA,INJETADOS,4,2024-04-30 00:00:00.000,400,17,2024,4
583,BOLA SEXTAVADA S/FURO PRETA,INJETADOS,4,2024-04-30 00:00:00.000,800,12,2024,4
587,CHAPEU INJ P/ LANTER SEX PR,INJETADOS,4,2024-04-30 00:00:00.000,700,12,2024,4
589,QUADRO INJ P/LANTER SEX PR,INJETADOS,4,2024-04-30 00:00:00.000,700,12,2024,4
626,"PARAF AA CAB PAN PHIL 3,5X16 ZB",FIXAÇÃO,8,2024-04-30 00:00:00.000,4000,2,2024,4
5594,GLOBO PLASTI PEAD 10X20 COM COLARINHO,GLOBO,12,2025-06-10 00:00:00.000,21,7,2025,6
7721,TRAVESSA INJ DUPLA 2 PARAF M4,MONTADOS,12,2025-06-10 00:00:00.000,1785,12,2025,6
9287,PORCA PASSANTE PRETA INJETADA,INJETADOS,24,2025-06-10 00:00:00.000,4500,12,2025,6
9797,COPO ARANDELA INJETADO PRETO COM FURO,INJETADOS,4,2024-04-30 00:00:00.000,435,7,2024,4
585,BRACO INJ ARANDE SEX PR,INJETADOS,12,2025-06-10 00:00:00.000,525,12,2025,6
1410,ELE ACO P/ SUPORTE SOQUETE,ELABORAÇÃO AX(1),12,2025-06-10 00:00:00.000,100,4,2025,6
1621,CANOPLA AL S/ SUP 10 X 20   PRETO LISO,PINTURA,12,2025-06-10 00:00:00.000,35,1,2025,6
2960,CONJ SOQ 26 CM PARAL PR S/ CHAPINHA,MONTADOS,12,2025-06-10 00:00:00.000,600,7,2025,6
5503,CX MASTER 420x420x236 REF-8360/8361,EMBALAGEM,3,2025-06-10 00:00:00.000,5,7,2025,6
798,CX SIMPLES MASTER 620x177x450 REF-8113,EMBALAGEM,"0,68",2024-04-30 00:00:00.000,40,10,2024,4
953,CONJ SOQ 40 CM PARALELO PR,MONTADOS,4,2024-04-30 00:00:00.000,400,7,2024,4
1384,CX PAP SIMPLES KRAFT REF 8113,EMBALAGEM,4,2024-04-30 00:00:00.000,200,7,2024,4
4590,TRIANGULO GRANDE PRETO P/ CORRENTE,INJETADOS,4,2024-04-30 00:00:00.000,330,12,2024,4
4761,CONJ DISCO INJ PRETO TEXT P/ LANT 340,MONTADOS,4,2024-04-30 00:00:00.000,1300,7,2024,4
8168,LENTE SEXTAVADA CRISTAL,INJETADOS,24,2024-04-30 00:00:00.000,3000,12,2024,4
598,FRENTE ARAND 8237 INJ PR,INJETADOS,10,2025-02-27 00:00:00.000,32,12,2025,2
601,FUNDO ARAND 8237 INJ PR,INJETADOS,10,2025-02-27 00:00:00.000,100,12,2025,2
